id,neighbourhood,price,,,,,,,,,,,,,,,,,,
13513012,Jamaica Plain,84.00,,,,,,,,,,,,,,,,,,
19430766,Jamaica Plain,79.00,,,,,,,,,,,,,,,,,,
20885932,Jamaica Plain,75.00,,,,,,,,,,,,,,,,,,
19911540,Jamaica Plain,63.00,,,,,,,,,,,,,,,,,,
1881298,Jamaica Plain,92.00,,,,,,,,,,,,,,,,,,
20639600,Jamaica Plain,65.00,,,,,,,,,,,,,,,,,,
1030500,Jamaica Plain,100.00,,,,,,,,,,,,,,,,,,
15432250,Jamaica Plain,50.00,,,,,,,,,,,,,,,,,,
11826815,Jamaica Plain,88.00,,,,,,,,,,,,,,,,,,
2014651,Jamaica Plain,120.00,,,,,,,,,,,,,,,,,,
519272,Jamaica Plain,62.00,,,,,,,,,,,,,,,,,,
12566065,Jamaica Plain,60.00,,,,,,,,,,,,,,,,,,
732932,Jamaica Plain,95.00,,,,,,,,,,,,,,,,,,
21213790,Jamaica Plain,135.00,,,,,,,,,,,,,,,,,,
14105971,Jamaica Plain,129.00,,,,,,,,,,,,,,,,,,
1113272,Jamaica Plain,210.00,,,,,,,,,,,,,,,,,,
10059572,Jamaica Plain,160.00,,,,,,,,,,,,,,,,,,
4567815,Jamaica Plain,120.00,,,,,,,,,,,,,,,,,,
6106955,Jamaica Plain,114.00,,,,,,,,,,,,,,,,,,
16674124,Jamaica Plain,350.00,,,,,,,,,,,,,,,,,,
19328794,Jamaica Plain,140.00,,,,,,,,,,,,,,,,,,
14531631,Jamaica Plain,150.00,,,,,,,,,,,,,,,,,,
12368012,Jamaica Plain,295.00,,,,,,,,,,,,,,,,,,
6386351,Jamaica Plain,185.00,,,,,,,,,,,,,,,,,,
17296595,Jamaica Plain,289.00,,,,,,,,,,,,,,,,,,
7273770,Jamaica Plain,145.00,,,,,,,,,,,,,,,,,,
14909417,Jamaica Plain,267.00,,,,,,,,,,,,,,,,,,
19311820,Jamaica Plain,300.00,,,,,,,,,,,,,,,,,,
3881993,Jamaica Plain,500.00,,,,,,,,,,,,,,,,,,
12071820,Jamaica Plain,75.00,,,,,,,,,,,,,,,,,,
17675806,Jamaica Plain,220.00,,,,,,,,,,,,,,,,,,
16282250,Jamaica Plain,60.00,,,,,,,,,,,,,,,,,,
735970,Jamaica Plain,55.00,,,,,,,,,,,,,,,,,,
950046,Jamaica Plain,250.00,,,,,,,,,,,,,,,,,,
3342094,Jamaica Plain,225.00,,,,,,,,,,,,,,,,,,
3593290,Jamaica Plain,325.00,,,,,,,,,,,,,,,,,,
3997572,Jamaica Plain,85.00,,,,,,,,,,,,,,,,,,
15869937,Jamaica Plain,225.00,,,,,,,,,,,,,,,,,,
14549157,Jamaica Plain,95.00,,,,,,,,,,,,,,,,,,
14991616,Jamaica Plain,63.00,,,,,,,,,,,,,,,,,,
447826,Jamaica Plain,71.00,,,,,,,,,,,,,,,,,,
5521378,Jamaica Plain,82.00,,,,,,,,,,,,,,,,,,
15581154,Jamaica Plain,350.00,,,,,,,,,,,,,,,,,,
4000384,Jamaica Plain,120.00,,,,,,,,,,,,,,,,,,
12419766,Jamaica Plain,39.00,,,,,,,,,,,,,,,,,,
9485607,Jamaica Plain,195.00,,,,,,,,,,,,,,,,,,
18857626,Jamaica Plain,65.00,,,,,,,,,,,,,,,,,,
18873614,Jamaica Plain,140.00,,,,,,,,,,,,,,,,,,
