id,property_type,room_type,accommodates,bathrooms,bedrooms,beds
18181482,House,Entire home/apt,6,1,3,4
20207694,Apartment,Entire home/apt,6,1,2,4
21189065,House,Private room,1,1,1,1
17382859,House,Entire home/apt,16,1,5,11
3968797,House,Private room,2,1.5,1,1
1494726,House,Private room,1,1,1,1
3755609,House,Private room,1,1,1,1
15099163,Apartment,Private room,2,1,1,2
18254869,Apartment,Entire home/apt,2,1,1,1
21154569,House,Private room,2,1,1,1
15616726,House,Entire home/apt,8,1,3,5
19073668,House,Private room,2,1,1,1
19991354,House,Private room,2,1,1,2
3229255,Apartment,Entire home/apt,3,1,1,1
18194673,House,Private room,2,2,1,1
18580155,House,Entire home/apt,5,2.5,3,3
1721016,Apartment,Entire home/apt,1,1,0,1
19327752,House,Private room,1,0.5,1,1
12927298,House,Entire home/apt,7,2,3,4
18790023,Apartment,Private room,3,1,1,2
7482195,House,Private room,1,1,1,1
6603827,House,Private room,1,1,1,1
16172058,Apartment,Entire home/apt,3,1,1,2
2843445,House,Private room,2,2,1,1
16892278,Apartment,Entire home/apt,6,1,2,2
40601,House,Private room,2,1,1,1
20406376,Condominium,Private room,2,1,1,1
19102964,House,Private room,2,1,1,1
19294099,Other,Private room,2,1,1,1
6862594,House,Private room,2,1,1,1
17843922,Apartment,Private room,2,1,1,1
2798787,Other,Private room,2,1.5,1,1
2295530,House,Private room,3,1,1,2
17476391,House,Private room,2,1,0,1
19007014,Apartment,Private room,2,1,1,1
16125278,Apartment,Private room,2,1,1,1
2698996,Apartment,Private room,2,1,1,1
14868545,Apartment,Private room,2,1,1,1
6248970,Apartment,Private room,1,1,1,1
20015244,Condominium,Private room,2,1,1,1
19103076,House,Private room,3,1,1,2
10883063,House,Private room,3,1,1,2
4015972,Apartment,Private room,2,1,1,1
18802946,Apartment,Private room,4,1,1,2
6238463,Townhouse,Private room,2,1,1,1
4586681,House,Private room,1,1,1,1
6730758,House,Private room,4,1,1,2
12855343,House,Private room,1,2,1,1
10253591,House,Private room,2,1,1,1
15149497,Townhouse,Private room,2,1.5,1,1
19102461,House,Private room,2,1,1,1
12874603,Condominium,Private room,2,2,1,1
8272350,Apartment,Private room,2,1,1,1
12824498,Apartment,Private room,2,1,1,1
12789527,Apartment,Private room,2,1,1,1
5025015,Apartment,Entire home/apt,5,1,3,4
6602217,Apartment,Entire home/apt,4,1,1,2
4149974,Apartment,Entire home/apt,2,1,1,1
20623854,House,Private room,2,1,1,1
21217225,Apartment,Entire home/apt,16,3,6,7
8932377,Condominium,Private room,2,1.5,1,1
7910223,Bed & Breakfast,Entire home/apt,4,1,2,2
2963419,House,Private room,1,1,1,1
6602167,Apartment,Entire home/apt,6,1,2,4
20053362,Condominium,Entire home/apt,4,1,2,2
16266043,House,Entire home/apt,4,1.5,2,2
8354938,Apartment,Entire home/apt,5,1,2,3
17249794,Apartment,Entire home/apt,4,1,1,1
1109224,Apartment,Entire home/apt,8,2,4,6
8879352,Apartment,Entire home/apt,3,1,0,1
17451062,House,Entire home/apt,6,1,2,3
20050570,Apartment,Entire home/apt,3,1,0,1
20051917,Apartment,Entire home/apt,3,1,1,1
19656368,Apartment,Entire home/apt,3,1,1,1
20053152,Apartment,Entire home/apt,5,2,2,1
2621242,Apartment,Entire home/apt,2,1,1,1
20053494,Apartment,Entire home/apt,5,2,2,1
554720,Apartment,Entire home/apt,6,2,2,2
